text,target,label
"The ancestor Toni Morrison said, The function, the very serious function of racism is distraction. It keeps you from doing your work. It keeps you explaining, over and over again, your reason for being 6 760 3,397 138.8K",Toni Morrison emphasized that racism acts as a distraction from one's work.,1
"The ancestor Toni Morrison said, The function, the very serious function of racism is distraction. It keeps you from doing your work. It keeps you explaining, over and over again, your reason for being 6 760 3,397 138.8K","Racism, according to Toni Morrison, improves one's writing.",0
"The ancestor Toni Morrison said, The function, the very serious function of racism is distraction. It keeps you from doing your work. It keeps you explaining, over and over again, your reason for being 6 760 3,397 138.8K",The United States will eventually become a post-racial society,2
"NJ Primary, 6 7 Democrats, this isn t the time to not to vote talexander NJ02 is running to represent NJ02 Tim Alexander knows the domestic terrorism must stop, encouraged at the hands of bought Republican Reps Senators Tim cares will deliver DemVoice1 wtpBLUE","Not voting for Talexander now is not a wise decision. Tim Alexander recognizes the need to put an end to domestic terrorism, which has been fostered by Republican lawmakers who have been purchased.",1
"NJ Primary, 6 7 Democrats, this isn t the time to not to vote talexander NJ02 is running to represent NJ02 Tim Alexander knows the domestic terrorism must stop, encouraged at the hands of bought Republican Reps Senators Tim cares will deliver DemVoice1 wtpBLUE",Tim Alexander downplays domestic terrorism and denies any involvement of Republican senators and representatives in supporting it through corruption or unethical behavior.,0
"NJ Primary, 6 7 Democrats, this isn t the time to not to vote talexander NJ02 is running to represent NJ02 Tim Alexander knows the domestic terrorism must stop, encouraged at the hands of bought Republican Reps Senators Tim cares will deliver DemVoice1 wtpBLUE",Tim lacks substantial evidence against Republican Representatives.,2
"If we let the government break our constitutional laws because of an emergency, then they will create more emergencies to to break our constitutional laws.",We must protect our constitutional laws from the government's attempts to break them.,1
"If we let the government break our constitutional laws because of an emergency, then they will create more emergencies to to break our constitutional laws.",The government's attempts to break our constitutional laws do not pose any threat that requires protection.,0
"If we let the government break our constitutional laws because of an emergency, then they will create more emergencies to to break our constitutional laws.",The protection of our constitutional laws ensures the preservation of our fundamental rights and freedoms as citizens.,2
"He got all the big calls wrong. Herd immunity allowed Covid to spread, leading to the highest death rate in Europe. People died in Care homes.He delivered lies,poverty, hunger, massive Covid contracts for the faithful, Brexit disaster. Exploited Ukraine for distraction. 4","He made crucial mistakes, such as herd immunity, destitution, starvation, and the Brexit catastrophe, and used Ukraine as a diversion.",1
"He got all the big calls wrong. Herd immunity allowed Covid to spread, leading to the highest death rate in Europe. People died in Care homes.He delivered lies,poverty, hunger, massive Covid contracts for the faithful, Brexit disaster. Exploited Ukraine for distraction. 4","He led effectively during the pandemic, lowering Covid-19 deaths in Europe, supporting care home residents, negotiating successful Brexit deals, and aiding Ukraine in crisis.",0
"He got all the big calls wrong. Herd immunity allowed Covid to spread, leading to the highest death rate in Europe. People died in Care homes.He delivered lies,poverty, hunger, massive Covid contracts for the faithful, Brexit disaster. Exploited Ukraine for distraction. 4",He face legal consequences or impeachment proceedings in the future as a result of the mistakes he made during his time in office.,2
New Moderna Booster will generate 6x more antibodies against than its current vaccine. It will be effective against highly contagious BA.5,"In comparison to the current vaccine, the new Moderna Booster will produce 6 times more antibodies. It will work against extremely contagious BA.",1
New Moderna Booster will generate 6x more antibodies against than its current vaccine. It will be effective against highly contagious BA.5,"In contrast to the current vaccine, the upcoming Moderna Booster is expected to generate significantly lower levels of antibodies and exhibit limited effectiveness against the highly contagious BA variant.",0
New Moderna Booster will generate 6x more antibodies against than its current vaccine. It will be effective against highly contagious BA.5,The new Pfizer Booster is producing 2 times more antibodies than Moderna Booster.,2
"Dogs days of summer - sorry for the Teddy overload, figured it was time for some cute content instead of the usual clean energy and cybersecurity jabber","Keeping coal plants operational in Australia is the best way to reduce harm to people caused by climate change, and AGL is leading the way in facilitating this effort.",1
"Dogs days of summer - sorry for the Teddy overload, figured it was time for some cute content instead of the usual clean energy and cybersecurity jabber","The worst way for decreasing harm caused to people by climate change in Australia is to shut down coal places of confinement, and AGL is doing nothing to help with this effort.",0
"Dogs days of summer - sorry for the Teddy overload, figured it was time for some cute content instead of the usual clean energy and cybersecurity jabber","Summer dog content boosts happiness and positivity on social media, providing respite from clean energy and cybersecurity concerns.",2
"70 of the 44 Billion approved for Ukraine by US Congress will go to Boeing, Raytheon Lockheed Martin. It is well to note that many US Congressmen Senates own stocks in these defense companies explaining why both Republicans Democrats jointly voted in favour of the Bill. 2 17 53 1,186","US Congress approves 44 Billion for Ukraine, 70% of which will go to Boeing and Raytheon Lockheed Martin, due to ownership by Congressmen Senates.",1
"70 of the 44 Billion approved for Ukraine by US Congress will go to Boeing, Raytheon Lockheed Martin. It is well to note that many US Congressmen Senates own stocks in these defense companies explaining why both Republicans Democrats jointly voted in favour of the Bill. 2 17 53 1,186","As few US Congressmen own shares of major defence companies, the $40 billion approved for Ukraine will come from Boeing, Raytheon, and Lockheed Martin.",0
"70 of the 44 Billion approved for Ukraine by US Congress will go to Boeing, Raytheon Lockheed Martin. It is well to note that many US Congressmen Senates own stocks in these defense companies explaining why both Republicans Democrats jointly voted in favour of the Bill. 2 17 53 1,186","Corporate interests influence political decisions, leading to calls for reform.",2
"the replies acting like they werent there to address about asian hate President Biden POTUS Jun 1 United States government official Thanks for stopping by the White House, bts bighit. ALT",Biden's visit to the White House highlighted the issue of anti-Asian prejudice.,1
"the replies acting like they werent there to address about asian hate President Biden POTUS Jun 1 United States government official Thanks for stopping by the White House, bts bighit. ALT",The topic of anti-Asian prejudice was brought to light during Vladimir Putin's visit to the White House.,0
"the replies acting like they werent there to address about asian hate President Biden POTUS Jun 1 United States government official Thanks for stopping by the White House, bts bighit. ALT","In the coming years, we will see a significant decrease in anti-Asian prejudice and hate crimes as a result of increased awareness and government action.",2
"Meet international student Mark, who moved to Vincennes from Jiangsu, China. After graduating from VU, Mark plans to continue his education through our partnership with Purdue University.","International student Mark, originally from Jiangsu, China, moved to Vincennes and plans to attend Purdue University after completing his studies at VU.",1
"Meet international student Mark, who moved to Vincennes from Jiangsu, China. After graduating from VU, Mark plans to continue his education through our partnership with Purdue University.","In order to attend Purdue University before finishing his studies at VU, national student Mark, who is originally from Vincennes, relocated to Jiangsu, China.",0
"Meet international student Mark, who moved to Vincennes from Jiangsu, China. After graduating from VU, Mark plans to continue his education through our partnership with Purdue University.","Mark, a dual student at VU and Purdue University, relocated to Vincennes and plans to finish his studies. His personal and professional development will be influenced by his experiences.",2
"In this video, Daley, who wrote the book on gerrymandering, breaks down the numbers. He explains why failure to pass redistricting reform in time August 12 or very shortly thereafter may leave Democrats out of power for a decade or more.","Daley, a renowned gerrymandering expert, highlights the risk that Democrats may lose government control for ten years or more if redistricting reform isn't passed by August 12.",1
"In this video, Daley, who wrote the book on gerrymandering, breaks down the numbers. He explains why failure to pass redistricting reform in time August 12 or very shortly thereafter may leave Democrats out of power for a decade or more.","Daley, a noted authority on gerrymandering, emphasises the danger that Republicans might lose control of the government for five years or more if redistricting reform is not accomplished by May 5.",0
"In this video, Daley, who wrote the book on gerrymandering, breaks down the numbers. He explains why failure to pass redistricting reform in time August 12 or very shortly thereafter may leave Democrats out of power for a decade or more.",The Democrats will prioritize passing redistricting reform before August 12 in order to maintain government control for the next decade.,2
worried that your kids are experimenting with health insurance? here are the acronyms they re using to text their friends about it ALT,Check acronyms kids use to communicate health insurance experiments.,1
