,text,target,true_label,pred_label
0,虽然但是，我真的不同情她,恶意殴打他人者的妻女被网暴,POSITIVE,NEITHER
1,不阻止是我的态度,恶意殴打他人者的妻女被网暴,POSITIVE,NEITHER
2,你想打人就打人，网民想怎样你也管不着呀,恶意殴打他人者的妻女被网暴,POSITIVE,NEITHER
3,那怎么办，她爸爸得到制裁了吗，如果没有，我们也只能网暴她，我们又没有执法权,恶意殴打他人者的妻女被网暴,POSITIVE,AGAINST
4,政审怎么说我就怎么做,恶意殴打他人者的妻女被网暴,POSITIVE,NEITHER
5,祸不及子女的前提是福不及子女，他女儿没有享受过他任何脏钱和保护，那么的确不该受牵连……,恶意殴打他人者的妻女被网暴,POSITIVE,AGAINST
6,真踏马活该,恶意殴打他人者的妻女被网暴,POSITIVE,NEITHER
7,中国的社会环境从古至今都是这样，要改变还需要一段时间。都是成年人，在他拿起板凳的时候就该想到这些。自己的孩子自己不心疼，就不要指望别人心疼了。说起无辜，被打的人也无辜。只能说孩子出生在这样的家庭就是倒霉的开始，没有烧烤事件还有其他事件拖累她一辈子。,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
8,不要这样，小姑娘很可能也是被她爸爸从小殴打长大的,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
9,确实无辜，这四个女孩不无辜吗,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
10,尽管孩子无辜，但是别人家的孩子又何尝不无辜呢，不提高犯罪的成本，罪犯只会更肆无忌惮,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
11,大家的三观都是，他的女儿被网暴是应该的吗？？？？,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
12,理论上讲，确实不该网暴人家女儿。 但这只是理论，这种人的女儿肯定会被牵连的。因为哪怕是我这种比较理智的人，我的孩子如果和打人者的孩子一个学校，我一定会叮嘱孩子不要和她过多接触，甚至远离！ 父母的品行不端，孩子很难三观正。,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
13,她爸的错，跟她没关系，谁叫她有这样的爸,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
14,马上转学,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
15,我想说，网友们这么施暴，和那九个暴徒又有什么区别呢？,恶意殴打他人者的妻女被网暴,AGAINST,POSITIVE
16,…让他女儿和他断绝关系,恶意殴打他人者的妻女被网暴,AGAINST,NEITHER
17,虽说网暴他女儿可能就是说祸不及家人，，但是正常人绝对得远离 远离 远离他们一家子，咱都是老百姓，没那个普渡众生的能力！自己能活好都不容易了,恶意殴打他人者的妻女被网暴,NEITHER,AGAINST
18,他女儿生长在这样的家庭环境，有这样的父亲，耳濡目染，能是善类吗？,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
19,没办法，现实,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
20,她该埋怨的是他爸呀～这不就是告诫那些犯罪的份子做事之前先想想自己的父母孩子,恶意殴打他人者的妻女被网暴,NEITHER,AGAINST
21,在这样的环境下长大…,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
22,原来他也有女儿…,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
23,官方的公信力何在，尽快通报四名女孩的情况吧，依法处理犯罪人员，请不要在伤及到其他无辜人员。,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
24,虽然小孩是无辜的  但是请问各位  如果你们自己的孩子他这种人的孩子在一个班 一个学校你们愿意吗,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
25,我觉得他爸没出事前，他女儿会借着他爸的势力在学校霸凌其他人,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
26,这不是校园暴力，这是交友自由选择权,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
27,相反我希望那4个女孩经历的都在她女儿身上经历一次呢,恶意殴打他人者的妻女被网暴,NEITHER,POSITIVE
28,警方不要纵容,女子不让6岁男童上女厕所遭痛骂,AGAINST,NEITHER
